NCM,Início de vigência,Fim de vigência
07108000,01/01/2016,
07109000,01/01/2016,
07112010,01/01/2016,
07112020,01/01/2016,
07112090,01/01/2016,
07114000,01/01/2016,
07115100,01/01/2016,
07115900,01/01/2016,
07119000,01/01/2016,
07122000,01/01/2016,
07123100,01/01/2016,
07123200,01/01/2016,
07123300,01/01/2016,
07123900,01/01/2016,
07129010,01/01/2016,
07129090,01/01/2016,
07131010,01/01/2016,
07131090,01/01/2016,
07132010,01/01/2016,
07132090,01/01/2016,
07133110,01/01/2016,
07133190,01/01/2016,
07133210,01/01/2016,
07133290,01/01/2016,
07133311,01/01/2016,
07133319,01/01/2016,
07133321,01/01/2016,
07133329,01/01/2016,
07133391,01/01/2016,
07133399,01/01/2016,
07133410,01/01/2016,
07133490,01/01/2016,
07133510,01/01/2016,
07133590,01/01/2016,
07133910,01/01/2016,
07133990,01/01/2016,
07134010,01/01/2016,
07134090,01/01/2016,
07135010,01/01/2016,
07135090,01/01/2016,
07136010,01/01/2016,
07136090,01/01/2016,
07139010,01/01/2016,
07139090,01/01/2016,
07141000,01/01/2016,
07142000,01/01/2016,
07143000,01/01/2016,
07144000,01/01/2016,
07145000,01/01/2016,
07149000,01/01/2016,
08011100,01/01/2016,
08011200,01/01/2016,
08011900,01/01/2016,
08012100,01/01/2016,
08012200,01/01/2016,
08013100,01/01/2016,
08013200,01/01/2016,
08021100,01/01/2016,
08021200,01/01/2016,
08022100,01/01/2016,
08022200,01/01/2016,
08023100,01/01/2016,
08023200,01/01/2016,
08024100,01/01/2016,
08024200,01/01/2016,
08025100,01/01/2016,
08025200,01/01/2016,
08026100,01/01/2016,
08026200,01/01/2016,
08027000,01/01/2016,
08028000,01/01/2016,
08029000,01/01/2016,
08031000,01/01/2016,
08039000,01/01/2016,
08041010,01/01/2016,
08041020,01/01/2016,
08042010,01/01/2016,
08042020,01/01/2016,
08043000,01/01/2016,
08044000,01/01/2016,
08045010,01/01/2016,
08045020,01/01/2016,
08045030,01/01/2016,
08051000,01/01/2016,
08052000,01/01/2016,31/03/2017
08052100,01/01/2017,
08052200,01/01/2017,
08052900,01/01/2017,
08054000,01/01/2016,
08055000,01/01/2016,
08059000,01/01/2016,
08061000,01/01/2016,
08062000,01/01/2016,
08071100,01/01/2016,
08071900,01/01/2016,
08072000,01/01/2016,
08081000,01/01/2016,
08083000,01/01/2016,
08084000,01/01/2016,
08091000,01/01/2016,
08092100,01/01/2016,
08092900,01/01/2016,
08093010,01/01/2016,
08093020,01/01/2016,
08094000,01/01/2016,
08101000,01/01/2016,
08102000,01/01/2016,
08103000,01/01/2016,
08104000,01/01/2016,
08105000,01/01/2016,
08106000,01/01/2016,
08107000,01/01/2016,
08109000,01/01/2016,
08111000,01/01/2016,
08112000,01/01/2016,
08119000,01/01/2016,
08121000,01/01/2016,
08129000,01/01/2016,
08131000,01/01/2016,
08132010,01/01/2016,
08132020,01/01/2016,
08133000,01/01/2016,
08134010,01/01/2016,
08134090,01/01/2016,
08135000,01/01/2016,
08140000,01/01/2016,
09011110,01/01/2016,
09011190,01/01/2016,
09011200,01/01/2016,
09012100,01/01/2016,
09012200,01/01/2016,
09019000,01/01/2016,
